시군구명,계
종로구,11531
종로구,9104
종로구,2301
종로구,9168
종로구,17520
종로구,8008
종로구,9764
종로구,3939
종로구,6737
종로구,5419
종로구,7046
종로구,16097
종로구,4630
종로구,7625
종로구,6424
종로구,5778
종로구,9800
중구,2210
중구,4490
중구,2702
중구,3957
중구,4592
중구,5620
중구,2307
중구,7567
중구,13419
중구,16315
중구,13125
중구,10160
중구,10008
중구,12818
중구,11960
용산구,16201
용산구,9010
용산구,7023
용산구,19055
용산구,17168
용산구,13705
용산구,10754
용산구,11483
용산구,21149
용산구,24969
용산구,7973
용산구,6125
용산구,8670
용산구,19207
용산구,12536
용산구,12583
성동구,16251
성동구,26385
성동구,21971
성동구,12100
성동구,13700
성동구,22990
성동구,14951
성동구,14989
성동구,22108
성동구,14244
성동구,25503
성동구,15636
성동구,12123
성동구,14972
성동구,10241
성동구,9969
성동구,11847
광진구,23379
광진구,19286
광진구,15435
광진구,20817
광진구,15920
광진구,27874
광진구,11163
광진구,34062
광진구,22089
광진구,23743
광진구,27465
광진구,17976
광진구,23364
광진구,25857
광진구,28128
동대문구,35393
동대문구,24104
동대문구,28734
동대문구,18121
동대문구,28067
동대문구,27699
동대문구,37893
동대문구,32449
동대문구,18739
동대문구,10496
동대문구,13963
동대문구,24493
동대문구,17968
동대문구,19573
중랑구,23786
중랑구,18357
중랑구,14681
중랑구,32948
중랑구,21433
중랑구,24698
중랑구,23379
중랑구,20215
중랑구,19037
중랑구,24315
중랑구,33983
중랑구,18354
중랑구,35576
중랑구,15882
중랑구,38332
중랑구,19891
성북구,16156
성북구,22489
성북구,15027
성북구,14375
성북구,23520
성북구,15110
성북구,16282
성북구,17861
성북구,22627
성북구,15126
성북구,24383
성북구,34756
성북구,21736
성북구,38054
성북구,25887
성북구,19181
성북구,23791
성북구,13318
성북구,15786
성북구,34286
강북구,22787
강북구,21107
강북구,29088
강북구,25377
강북구,30761
강북구,18034
강북구,15190
강북구,16364
강북구,20195
강북구,20803
강북구,23028
강북구,20124
강북구,29525
도봉구,24239
도봉구,28482
도봉구,13392
도봉구,25919
도봉구,24090
도봉구,20335
도봉구,26093
도봉구,20912
도봉구,18231
도봉구,16681
도봉구,18262
도봉구,28059
도봉구,18943
도봉구,26385
노원구,20842
노원구,25882
노원구,29030
노원구,36301
노원구,41777
노원구,26942
노원구,21445
노원구,23182
노원구,26427
노원구,19412
노원구,33067
노원구,37470
노원구,19427
노원구,25050
노원구,23413
노원구,31849
노원구,22148
노원구,19885
노원구,18289
은평구,36363
은평구,37780
은평구,27083
은평구,15080
은평구,27752
은평구,31731
은평구,27312
은평구,32942
은평구,27681
은평구,23706
은평구,44420
은평구,26733
은평구,19208
은평구,18495
은평구,13149
은평구,54782
서대문구,16713
서대문구,15544
서대문구,19816
서대문구,20409
서대문구,34320
서대문구,24850
서대문구,17739
서대문구,13254
서대문구,22427
서대문구,28738
서대문구,16711
서대문구,29252
서대문구,17749
서대문구,30816
마포구,27976
마포구,36740
마포구,20673
마포구,21278
마포구,14480
마포구,16760
마포구,22195
마포구,24650
마포구,24391
마포구,16569
마포구,19334
마포구,18170
마포구,14455
마포구,18626
마포구,39014
마포구,29976
양천구,30245
양천구,29119
양천구,21426
양천구,24635
양천구,40547
