시군구명,읍면동명,계
종로구,청운효자동,11531
종로구,사직동,9104
종로구,삼청동,2301
종로구,부암동,9168
종로구,평창동,17520
종로구,무악동,8008
종로구,교남동,9764
종로구,가회동,3939
종로구,종로1.2.3.4가동,6737
종로구,종로5.6가동,5419
종로구,이화동,7046
종로구,혜화동,16097
종로구,창신제1동,4630
종로구,창신제2동,7625
종로구,창신제3동,6424
종로구,숭인제1동,5778
종로구,숭인제2동,9800
중구,소공동,2210
중구,회현동,4490
중구,명동,2702
중구,필동,3957
중구,장충동,4592
중구,광희동,5620
중구,을지로동,2307
중구,신당동,7567
중구,다산동,13419
중구,약수동,16315
중구,청구동,13125
중구,신당제5동,10160
중구,동화동,10008
중구,황학동,12818
중구,중림동,11960
용산구,후암동,16201
용산구,용산2가동,9010
용산구,남영동,7023
용산구,청파동,19055
용산구,원효로제1동,17168
용산구,원효로제2동,13705
용산구,효창동,10754
용산구,용문동,11483
용산구,한강로동,21149
용산구,이촌제1동,24969
용산구,이촌제2동,7973
용산구,이태원제1동,6125
용산구,이태원제2동,8670
용산구,한남동,19207
용산구,서빙고동,12536
용산구,보광동,12583
성동구,왕십리제2동,16251
성동구,왕십리도선동,26385
성동구,마장동,21971
성동구,사근동,12100
성동구,행당제1동,13700
성동구,행당제2동,22990
성동구,응봉동,14951
성동구,금호1가동,14989
성동구,금호2.3가동,22108
성동구,금호4가동,14244
성동구,옥수동,25503
성동구,성수1가제1동,15636
성동구,성수1가제2동,12123
성동구,성수2가제1동,14972
성동구,성수2가제3동,10241
성동구,송정동,9969
성동구,용답동,11847
광진구,화양동,23379
광진구,군자동,19286
광진구,중곡제1동,15435
광진구,중곡제2동,20817
광진구,중곡제3동,15920
광진구,중곡제4동,27874
광진구,능동,11163
광진구,광장동,34062
광진구,자양제1동,22089
광진구,자양제2동,23743
광진구,자양제3동,27465
광진구,자양제4동,17976
광진구,구의제1동,23364
광진구,구의제2동,25857
광진구,구의제3동,28128
동대문구,용신동,35393
동대문구,제기동,24104
동대문구,전농제1동,28734
동대문구,전농제2동,18121
동대문구,답십리제1동,28067
동대문구,답십리제2동,27699
동대문구,장안제1동,37893
동대문구,장안제2동,32449
동대문구,청량리동,18739
동대문구,회기동,10496
동대문구,휘경제1동,13963
동대문구,휘경제2동,24493
동대문구,이문제1동,17968
동대문구,이문제2동,19573
중랑구,면목제2동,23786
중랑구,면목제4동,18357
중랑구,면목제5동,14681
중랑구,면목본동,32948
중랑구,면목제7동,21433
중랑구,면목제3.8동,24698
중랑구,상봉제1동,23379
중랑구,상봉제2동,20215
중랑구,중화제1동,19037
중랑구,중화제2동,24315
중랑구,묵제1동,33983
중랑구,묵제2동,18354
중랑구,망우본동,35576
중랑구,망우제3동,15882
중랑구,신내1동,38332
중랑구,신내2동,19891
성북구,성북동,16156
성북구,삼선동,22489
성북구,동선동,15027
성북구,돈암제1동,14375
성북구,돈암제2동,23520
성북구,안암동,15110
성북구,보문동,16282
성북구,정릉제1동,17861
성북구,정릉제2동,22627
성북구,정릉제3동,15126
성북구,정릉제4동,24383
성북구,길음제1동,34756
성북구,길음제2동,21736
성북구,종암동,38054
성북구,월곡제1동,25887
성북구,월곡제2동,19181
성북구,장위제1동,23791
성북구,장위제2동,13318
성북구,장위제3동,15786
성북구,석관동,34286
강북구,삼양동,22787
강북구,미아동,21107
강북구,송중동,29088
강북구,송천동,25377
강북구,삼각산동,30761
강북구,번1동,18034
강북구,번2동,15190
강북구,번3동,16364
강북구,수유1동,20195
강북구,수유2동,20803
강북구,수유3동,23028
강북구,우이동,20124
강북구,인수동,29525
도봉구,창제1동,24239
도봉구,창제2동,28482
도봉구,창제3동,13392
도봉구,창제4동,25919
도봉구,창제5동,24090
도봉구,도봉제1동,20335
도봉구,도봉제2동,26093
도봉구,쌍문제1동,20912
도봉구,쌍문제2동,18231
도봉구,쌍문제3동,16681
도봉구,쌍문제4동,18262
도봉구,방학제1동,28059
도봉구,방학제2동,18943
도봉구,방학제3동,26385
노원구,월계1동,20842
노원구,월계2동,25882
노원구,월계3동,29030
노원구,공릉1동,36301
노원구,공릉2동,41777
노원구,하계1동,26942
노원구,하계2동,21445
노원구,중계본동,23182
노원구,중계1동,26427
노원구,중계4동,19412
노원구,중계2.3동,33067
노원구,상계1동,37470
노원구,상계2동,19427
노원구,상계3.4동,25050
노원구,상계5동,23413
노원구,상계6.7동,31849
노원구,상계8동,22148
노원구,상계9동,19885
노원구,상계10동,18289
은평구,녹번동,36363
은평구,불광제1동,37780
은평구,불광제2동,27083
은평구,갈현제1동,15080
은평구,갈현제2동,27752
은평구,구산동,31731
은평구,대조동,27312
은평구,응암제1동,32942
은평구,응암제2동,27681
은평구,응암제3동,23706
은평구,역촌동,44420
은평구,신사제1동,26733
은평구,신사제2동,19208
은평구,증산동,18495
은평구,수색동,13149
은평구,진관동,54782
서대문구,천연동,16713
서대문구,북아현동,15544
서대문구,충현동,19816
서대문구,신촌동,20409
